"part","design","scenario","k","N","fail_glmmTMB","power_glmmTMB","rho","N_eff","flag_fail","flag_small","unreliable"
"Part 2: type I (equal cost)","C = 200","J-shape (rho=0.048)",5,40,0.254,0.0241286863270777,0.0476190476190476,168,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 200","Unimodal (rho=0.024)",5,40,0.388,0.0245098039215686,0.024390243902439,182,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 200","Mild-U (rho=0.500)",5,40,0.004,0.0582329317269076,0.5,67,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 200","Strong-U (rho=0.833)",5,40,0.01,0.0232323232323232,0.833333333333333,46,FALSE,TRUE,TRUE
"Part 2: type I (equal cost)","C = 300","J-shape (rho=0.048)",5,60,0.204,0.0339195979899497,0.0476190476190476,252,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 300","Unimodal (rho=0.024)",5,60,0.34,0.0484848484848485,0.024390243902439,273,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 300","Mild-U (rho=0.500)",5,60,0.001,0.0620620620620621,0.5,100,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 300","Strong-U (rho=0.833)",5,60,0,0.045,0.833333333333333,69,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 400","J-shape (rho=0.048)",5,80,0.161,0.0584028605482718,0.0476190476190476,336,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 400","Unimodal (rho=0.024)",5,80,0.294,0.0254957507082153,0.024390243902439,364,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 400","Mild-U (rho=0.500)",5,80,0,0.059,0.5,133,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 400","Strong-U (rho=0.833)",5,80,0,0.035,0.833333333333333,92,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 200","J-shape (rho=0.048)",10,20,0.221,0.030808729139923,0.0476190476190476,140,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 200","Unimodal (rho=0.024)",10,20,0.352,0.0262345679012346,0.024390243902439,164,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 200","Mild-U (rho=0.500)",10,20,0.018,0.0885947046843177,0.5,36,FALSE,TRUE,TRUE
"Part 2: type I (equal cost)","C = 200","Strong-U (rho=0.833)",10,20,0.059,0.0340063761955367,0.833333333333333,24,FALSE,TRUE,TRUE
"Part 2: type I (equal cost)","C = 300","J-shape (rho=0.048)",10,30,0.13,0.0413793103448276,0.0476190476190476,210,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 300","Unimodal (rho=0.024)",10,30,0.292,0.0423728813559322,0.024390243902439,246,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 300","Mild-U (rho=0.500)",10,30,0.003,0.0682046138415246,0.5,55,FALSE,TRUE,TRUE
"Part 2: type I (equal cost)","C = 300","Strong-U (rho=0.833)",10,30,0.019,0.0407747196738022,0.833333333333333,35,FALSE,TRUE,TRUE
"Part 2: type I (equal cost)","C = 400","J-shape (rho=0.048)",10,40,0.086,0.050328227571116,0.0476190476190476,280,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 400","Unimodal (rho=0.024)",10,40,0.232,0.0390625,0.024390243902439,328,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 400","Mild-U (rho=0.500)",10,40,0,0.075,0.5,73,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 400","Strong-U (rho=0.833)",10,40,0.008,0.0483870967741935,0.833333333333333,47,FALSE,TRUE,TRUE
"Part 2: type I (equal cost)","C = 200","J-shape (rho=0.048)",20,10,0.211,0.0456273764258555,0.0476190476190476,105,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 200","Unimodal (rho=0.024)",20,10,0.349,0.0276497695852535,0.024390243902439,137,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 200","Mild-U (rho=0.500)",20,10,0.078,0.0932754880694143,0.5,19,FALSE,TRUE,TRUE
"Part 2: type I (equal cost)","C = 200","Strong-U (rho=0.833)",20,10,0.237,0.0406290956749672,0.833333333333333,12,TRUE,TRUE,TRUE
"Part 2: type I (equal cost)","C = 300","J-shape (rho=0.048)",20,15,0.105,0.0525139664804469,0.0476190476190476,158,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 300","Unimodal (rho=0.024)",20,15,0.228,0.0349740932642487,0.024390243902439,205,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 300","Mild-U (rho=0.500)",20,15,0.025,0.104615384615385,0.5,29,FALSE,TRUE,TRUE
"Part 2: type I (equal cost)","C = 300","Strong-U (rho=0.833)",20,15,0.096,0.0530973451327434,0.833333333333333,18,FALSE,TRUE,TRUE
"Part 2: type I (equal cost)","C = 400","J-shape (rho=0.048)",20,20,0.061,0.0415335463258786,0.0476190476190476,210,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 400","Unimodal (rho=0.024)",20,20,0.179,0.048721071863581,0.024390243902439,273,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 400","Mild-U (rho=0.500)",20,20,0.006,0.0885311871227364,0.5,38,FALSE,TRUE,TRUE
"Part 2: type I (equal cost)","C = 400","Strong-U (rho=0.833)",20,20,0.048,0.0745798319327731,0.833333333333333,24,FALSE,TRUE,TRUE
"Part 2: type I (equal cost)","C = 200","Binomial (rho=0)",1,200,0,0.07,0,200,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 300","Binomial (rho=0)",1,300,0,0.041,0,300,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 400","Binomial (rho=0)",1,400,0,0.053,0,400,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 200","Binomial (rho=0)",3,66,0.539,0.03470715835141,0,198,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 300","Binomial (rho=0)",3,100,0.575,0.0235294117647059,0,300,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 400","Binomial (rho=0)",3,133,0.551,0.0267260579064588,0,399,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 200","Binomial (rho=0)",5,40,0.559,0.0204081632653061,0,200,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 300","Binomial (rho=0)",5,60,0.541,0.0522875816993464,0,300,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 400","Binomial (rho=0)",5,80,0.524,0.0420168067226891,0,400,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 200","Binomial (rho=0)",10,20,0.562,0.0273972602739726,0,200,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 300","Binomial (rho=0)",10,30,0.565,0.0183908045977011,0,300,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 400","Binomial (rho=0)",10,40,0.548,0.0243362831858407,0,400,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 200","Binomial (rho=0)",20,10,0.626,0.0133689839572193,0,200,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 300","Binomial (rho=0)",20,15,0.604,0.0277777777777778,0,300,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 400","Binomial (rho=0)",20,20,0.553,0.0201342281879195,0,400,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 0","J-shape (rho=0.048)",1,1000,0,1,0.0476190476190476,1000,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 0","Unimodal (rho=0.024)",1,1000,0,1,0.024390243902439,1000,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 0","Mild-U (rho=0.500)",1,1000,0,1,0.5,1000,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 0","Strong-U (rho=0.833)",1,1000,0,1,0.833333333333333,1000,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 3","J-shape (rho=0.048)",1,250,0,0.926,0.0476190476190476,250,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 3","Unimodal (rho=0.024)",1,250,0,0.919,0.024390243902439,250,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 3","Mild-U (rho=0.500)",1,250,0,0.907,0.5,250,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 3","Strong-U (rho=0.833)",1,250,0,0.92,0.833333333333333,250,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 5","J-shape (rho=0.048)",1,166,0,0.806,0.0476190476190476,166,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 5","Unimodal (rho=0.024)",1,166,0,0.779,0.024390243902439,166,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 5","Mild-U (rho=0.500)",1,166,0,0.798,0.5,166,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 5","Strong-U (rho=0.833)",1,166,0,0.784,0.833333333333333,166,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 10","J-shape (rho=0.048)",1,90,0,0.511,0.0476190476190476,90,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 10","Unimodal (rho=0.024)",1,90,0,0.52,0.024390243902439,90,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 10","Mild-U (rho=0.500)",1,90,0,0.536,0.5,90,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 10","Strong-U (rho=0.833)",1,90,0,0.53,0.833333333333333,90,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 20","J-shape (rho=0.048)",1,47,0,0.322,0.0476190476190476,47,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 20","Unimodal (rho=0.024)",1,47,0,0.306,0.024390243902439,47,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 20","Mild-U (rho=0.500)",1,47,0,0.295,0.5,47,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 20","Strong-U (rho=0.833)",1,47,0,0.306,0.833333333333333,47,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 0","J-shape (rho=0.048)",3,333,0.157,1,0.0476190476190476,912,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 0","Unimodal (rho=0.024)",3,333,0.276,1,0.024390243902439,953,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 0","Mild-U (rho=0.500)",3,333,0,0.994,0.5,500,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 0","Strong-U (rho=0.833)",3,333,0,0.983,0.833333333333333,375,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 3","J-shape (rho=0.048)",3,166,0.26,0.993243243243243,0.0476190476190476,455,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 3","Unimodal (rho=0.024)",3,166,0.388,0.990196078431373,0.024390243902439,475,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 3","Mild-U (rho=0.500)",3,166,0.002,0.901803607214429,0.5,249,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 3","Strong-U (rho=0.833)",3,166,0,0.804,0.833333333333333,187,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 5","J-shape (rho=0.048)",3,125,0.267,0.956343792633015,0.0476190476190476,342,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 5","Unimodal (rho=0.024)",3,125,0.378,0.967845659163987,0.024390243902439,358,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 5","Mild-U (rho=0.500)",3,125,0.003,0.794383149448345,0.5,188,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 5","Strong-U (rho=0.833)",3,125,0.002,0.707414829659319,0.833333333333333,141,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 10","J-shape (rho=0.048)",3,76,0.398,0.81063122923588,0.0476190476190476,208,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 10","Unimodal (rho=0.024)",3,76,0.485,0.836893203883495,0.024390243902439,217,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 10","Mild-U (rho=0.500)",3,76,0.034,0.561076604554865,0.5,114,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 10","Strong-U (rho=0.833)",3,76,0.022,0.423312883435583,0.833333333333333,85,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 20","J-shape (rho=0.048)",3,43,0.59,0.282926829268293,0.0476190476190476,118,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 20","Unimodal (rho=0.024)",3,43,0.64,0.294444444444444,0.024390243902439,123,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 20","Mild-U (rho=0.500)",3,43,0.168,0.225961538461538,0.5,64,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 20","Strong-U (rho=0.833)",3,43,0.121,0.0750853242320819,0.833333333333333,48,TRUE,TRUE,TRUE
"Part 3: power (unequal cost)","c_N = 0","J-shape (rho=0.048)",5,200,0.075,1,0.0476190476190476,840,FALSE,FALSE,FALSE
"Part 3: power (unequal cost)","c_N = 0","Unimodal (rho=0.024)",5,200,0.199,1,0.024390243902439,911,TRUE,FALSE,TRUE
"Part 3: power (unequal cost)","c_N = 0","Mild-U (rho=0.500)",5,200,0,0.967,0.5,333,FALSE,FALSE,FALSE
